Date,IEF,SHV,XLP,IEI,TLH,ICF,GLD,HYG,IYZ,SHY,XLE,TIP,TLT,XLI,XLU,XLK,XLV,XLB,XLY,XLF
1998-12-22,,,15.57424259185791,,,,,,,,13.201353073120117,,,15.366809844970703,13.178999900817871,24.593769073486328,17.938203811645508,12.415228843688965,19.420459747314453,11.97499942779541
1998-12-23,,,15.950740814208984,,,,,,,,13.476208686828613,,,15.634949684143066,13.123771667480469,25.181333541870117,18.341312408447266,12.545622825622559,19.503856658935547,12.151578903198242
1998-12-24,,,15.92319393157959,,,,,,,,13.405281066894531,,,15.841219902038574,13.365400314331055,25.08540153503418,18.453275680541992,12.834345817565918,19.861278533935547,12.231832504272461
1998-12-28,,,15.831368446350098,,,,,,,,13.33434772491455,,,15.923722267150879,13.296360969543457,25.157350540161133,18.184545516967773,12.722576141357422,19.68256187438965,12.071307182312012
1998-12-29,,,16.180316925048828,,,,,,,,13.467344284057617,,,16.15062141418457,13.517284393310547,25.22929573059082,18.587650299072266,12.955428123474121,20.111488342285156,12.19973087310791
1998-12-30,,,16.079309463500977,,,,,,,,13.263421058654785,,,16.078420639038086,13.406817436218262,25.13336944580078,18.43088150024414,12.918176651000977,19.94468116760254,12.151578903198242
1998-12-31,,,15.959919929504395,,,,,,,,13.245688438415527,,,16.212493896484375,13.358498573303223,25.03743553161621,18.6324405670166,13.067192077636719,19.920854568481445,12.039205551147461
1999-01-04,,,15.831368446350098,,,,,,,,13.236822128295898,,,15.985599517822266,13.14448070526123,25.325227737426758,18.587650299072266,12.908855438232422,19.801708221435547,12.039205551147461
1999-01-05,,,15.950740814208984,,,,,,,,13.165898323059082,,,16.31562614440918,13.303267478942871,25.972747802734375,18.8787899017334,13.225528717041016,20.135326385498047,12.151578903198242
1999-01-06,,,16.143585205078125,,,,,,,,13.600333213806152,,,16.66627311706543,13.44133472442627,26.74017906188965,19.192306518554688,13.458364486694336,20.707204818725586,12.53683090209961
1999-01-07,,,15.959919929504395,,,,,,,,13.5382661819458,,,16.52189064025879,13.393010139465332,26.656248092651367,19.102724075317383,13.355915069580078,20.68337059020996,12.729450225830078
1999-01-08,,,15.895647048950195,,,,,,,,13.600333213806152,,,16.64565658569336,13.468950271606445,26.76416778564453,19.33788299560547,13.812288284301758,20.707204818725586,12.809714317321777
1999-01-11,,,15.57424259185791,,,,,,,,13.343214988708496,,,16.490951538085938,13.109967231750488,27.027957916259766,19.38265609741211,13.840230941772461,20.59998321533203,12.61709213256836
1999-01-12,,,15.454865455627441,,,,,,,,13.139297485351562,,,16.294998168945312,13.116867065429688,26.2965087890625,19.30428123474121,13.486296653747559,20.063831329345703,12.26393985748291
1999-01-13,,,15.482407569885254,,,,,,,,12.944244384765625,,,15.88247299194336,13.206613540649414,26.284515380859375,19.125125885009766,13.18826675415039,20.15914535522461,12.103413581848145
1999-01-14,,,15.188559532165527,,,,,,,,12.695998191833496,,,15.810275077819824,12.985696792602539,25.924776077270508,18.96836280822754,12.964739799499512,19.706403732299805,11.798423767089844
1999-01-15,,,15.353856086730957,,,,,,,,12.891054153442383,,,16.078420639038086,13.047833442687988,26.692216873168945,19.22589111328125,13.16032600402832,19.956605911254883,12.135522842407227
1999-01-19,,,15.17937183380127,,,,,,,,12.891054153442383,,,16.0474853515625,13.489668846130371,27.61552619934082,19.774574279785156,12.918176651000977,19.94468116760254,12.071307182312012
1999-01-20,,,15.225290298461914,,,,,,,,12.784663200378418,,,15.975278854370117,13.43443775177002,27.86733627319336,19.88654327392578,12.871604919433594,20.278287887573242,12.159600257873535
1999-01-21,,,14.995712280273438,,,,,,,,12.891054153442383,,,15.841219902038574,13.386110305786133,27.147872924804688,19.192306518554688,12.815720558166504,20.0876522064209,11.94289493560791
1999-01-22,,,14.922249794006348,,,,,,,,12.820122718811035,,,15.531817436218262,13.475851058959961,26.66822624206543,19.113927841186523,12.564248085021973,20.18297576904297,11.862627029418945
1999-01-25,,,14.885513305664062,,,,,,,,12.802393913269043,,,15.789656639099121,12.971892356872559,27.135875701904297,19.270692825317383,12.815720558166504,20.135326385498047,11.958944320678711
1999-01-26,,,15.234477043151855,,,,,,,,12.678271293640137,,,15.789656639099121,13.227328300476074,28.227067947387695,19.360267639160156,12.778468132019043,20.61189842224121,11.966967582702637
1999-01-27,,,15.436494827270508,,,,,,,,12.447752952575684,,,15.913407325744629,13.027119636535645,27.627521514892578,19.169919967651367,12.67601203918457,20.58806610107422,11.814476013183594
1999-01-28,,,15.71198558807373,,,,,,,,12.376827239990234,,,15.934040069580078,13.047833442687988,28.59879493713379,19.528226852416992,12.517681121826172,20.802520751953125,11.991052627563477
1999-01-29,,,15.748708724975586,,,,,,,,12.376827239990234,,,16.037172317504883,13.027119636535645,29.018484115600586,19.528226852416992,12.582876205444336,20.945493698120117,12.24789047241211
1999-02-01,,,15.684444427490234,,,,,,,,12.252706527709961,,,16.05779266357422,12.999504089355469,29.042465209960938,19.640201568603516,12.685325622558594,20.993152618408203,12.039205551147461
1999-02-02,,,15.81299877166748,,,,,,,,12.27043628692627,,,15.934040069580078,12.82691478729248,28.550838470458984,19.349077224731445,12.694640159606934,20.731040954589844,11.910792350769043
1999-02-03,,,15.757893562316895,,,,,,,,12.554144859313965,,,16.08873748779297,12.895951271057129,28.754688262939453,19.718584060668945,12.70395278930664,21.064640045166016,11.999072074890137
1999-02-04,,,15.684444427490234,,,,,,,,12.625080108642578,,,16.109359741210938,12.70264720916748,27.77140235900879,19.573028564453125,13.076505661010742,20.945493698120117,11.718159675598145
